name;type;min;max;sum;mean;median;stdev
Active_School_Zone_Fl;boolean;None;None;None;None;None;None
Active_School_Zone_Fl_01;int64;0;1;8;0.0015214910612400153;0.0;0.03898031692743521
Adt_Adj_Curnt_Amt;float64;36.0;287905.0;108705304.0;49887.70261587884;23847.0;58883.62991489032
Adt_Curnt_Amt;float64;36.0;287905.0;108705304.0;49887.70261587884;23847.0;58883.62991489032
Adt_Curnt_Year;float64;2014.0;2014.0;4388506.0;2014.0;2014.0;0.0
Amend_Supp_Fl;boolean;None;None;None;None;None;None
Amend_Supp_Fl_01;int64;0;1;247;0.04697603651578547;0.0;0.21160766677447487
At_Intrsct_Fl;boolean;None;None;None;None;None;None
At_Intrsct_Fl_01;int64;0;1;1451;0.27596044123240776;0.0;0.44703946556053964
Cmv_Involv_Fl;boolean;None;None;None;None;None;None
Cmv_Involv_Fl_01;int64;0;1;333;0.06333206542411564;0.0;0.2435824277890217
Control;float64;1.0;3631.0;1511112.0;693.4887563102341;286.0;875.823695332062
CrashDateFormated;datetime64[ns];None;None;None;None;None;None
Crash_Date;object;None;None;None;None;None;None
Crash_Fatal_Fl;boolean;None;None;None;None;None;None
Crash_Fatal_Fl_01;int64;0;1;32;0.006085964244960061;0.0;0.07778223400124398
Crash_ID;int64;13056580;15731655;70308384453;13371697.309433244;13367782.5;175707.57689484474
Crash_Speed_Limit;int64;-1;85;211702;40.26283758082921;40.0;18.205988299999053
Crash_Time;object;None;None;None;None;None;None
Day_of_Week;object;None;None;None;None;None;None
Death_Cnt;int64;0;2;34;0.006466337010270064;0.0;0.08477402802055906
Dfo;float64;0.0;877.328;258938.50699999998;118.77913165137609;30.8345;180.71997229966686
Hp_Median_Width;float64;0.0;463.0;50091.0;22.988067921064708;12.0;35.94818029552025
Hp_Shldr_Left;float64;0.0;30.0;10646.0;4.88572739788894;4.0;4.301458639678891
Hp_Shldr_Right;float64;0.0;24.0;14484.0;6.647085819183111;9.0;4.410085746088909
Hwy_Nbr;object;None;None;None;None;None;None
Hwy_Sys;object;None;None;None;None;None;None
Incap_Injry_Cnt;int64;0;5;160;0.030429821224800303;0.0;0.2022938781231952
Investigat_Arrv_Time;object;None;None;None;None;None;None
Investigat_Comp_Fl;boolean;None;None;None;None;None;None
Investigat_Comp_Fl_01;int64;0;1;4715;0.896728794218334;1.0;0.3043417152456879
Investigat_Notify_Meth;object;None;None;None;None;None;None
Investigat_Notify_Time;object;None;None;None;None;None;None
Latitude;float64;25.87355104;36.29784522;133020.50416475002;30.83460921760544;30.295072125;1.9356882972552758
Located_Fl;boolean;None;None;None;None;None;None
Located_Fl_01;int64;0;1;4314;0.8204640547736782;1.0;0.38383695745955576
Longitude;float64;-106.59705190000001;-93.72825139;-420752.39555925;-97.53184876199566;-97.12924858;2.483453686705738
Median_Width;float64;0.0;455.0;36856.0;16.914180816888482;3.0;32.850643950992065
Medical_Advisory_Fl;boolean;None;None;None;None;None;None
Medical_Advisory_Fl_01;int64;0;1;43;0.008178014454165081;0.0;0.09007040276656476
Milepoint;float64;0.003;73.247;26637.536999999997;12.22466131252867;9.738999999999999;10.404947191277907
Nbr_Of_Lane;float64;2.0;14.0;10032.0;4.603946764570904;4.0;1.9925487987135262
Non_Injry_Cnt;int64;0;47;10494;1.99581589958159;2.0;1.8175223447882345
Nonincap_Injry_Cnt;int64;0;4;751;0.14282997337390643;0.0;0.45025190886163435
ORI_Number;object;None;None;None;None;None;None
Onsys_Fl;boolean;None;None;None;None;None;None
Onsys_Fl_01;int64;0;1;2724;0.5180677063522252;1.0;0.4997209736749541
Pct_Combo_Trk_Adt;float64;0.0;61.7;18088.1;8.301101422670968;5.3;8.703583625858748
Pct_Single_Trk_Adt;float64;0.7;33.0;9571.8;4.39274896741622;3.4;3.0949487441579286
Poss_Injry_Cnt;int64;0;8;1428;0.2715861544313427;0.0;0.6773847497513962
Private_Dr_Fl;boolean;None;None;None;None;None;None
Private_Dr_Fl_01;int64;0;1;337;0.06409281095473564;0.0;0.24494148898094692
Ref_Mark_Displ;float64;-500.0;500.0;50.493999999999915;0.02333364140480567;0.036000000000000004;25.752659994529807
Ref_Mark_Nbr;object;None;None;None;None;None;None
Report_Date;object;None;None;None;None;None;None
Road_Constr_Zone_Fl;boolean;None;None;None;None;None;None
Road_Constr_Zone_Fl_01;int64;0;1;199;0.03784709014834538;0.0;0.19084447807263863
Road_Constr_Zone_Wrkr_Fl;boolean;None;None;None;None;None;None
Road_Constr_Zone_Wrkr_Fl_01;int64;0;1;88;0.016736401673640166;0.0;0.12829429017356397
Roadbed_Width;float64;20.0;318.0;172847.0;79.32400183570445;76.0;35.81617729293281
Row_Width_Usual;float64;50.0;800.0;468676.0;215.0876548875631;180.0;126.67340176728823
Rpt_Block_Num;object;None;None;None;None;None;None
Rpt_Hwy_Num;object;None;None;None;None;None;None
Rpt_Outside_City_Limit_Fl;boolean;None;None;None;None;None;None
Rpt_Outside_City_Limit_Fl_01;int64;0;1;1016;0.19322936477748193;0.0;0.3948688788676491
Rpt_Sec_Block_Num;object;None;None;None;None;None;None
Rpt_Sec_Street_Name;object;None;None;None;None;None;None
Rpt_Sec_Street_Sfx;object;None;None;None;None;None;None
Rpt_Street_Name;object;None;None;None;None;None;None
Rpt_Street_Sfx;object;None;None;None;None;None;None
Rr_Relat_Fl;boolean;None;None;None;None;None;None
Rr_Relat_Fl_01;int64;0;1;15;0.0028527957398250285;0.0;0.05334040133225791
Rural_Fl;boolean;None;None;None;None;None;None
Rural_Fl_01;int64;0;1;1205;0.2291745910992773;0.0;0.4203417673673013
Schl_Bus_Fl;boolean;None;None;None;None;None;None
Schl_Bus_Fl_01;int64;0;1;18;0.003423354887790034;0.0;0.0584147626815977
Section;float64;1.0;24.0;9756.0;4.477283157411657;3.0;3.9298033324250707
Shldr_Width_Left;float64;0.0;60.0;18096.0;8.304726938962826;8.0;7.866880901053053
Shldr_Width_Right;float64;0.0;44.0;24813.0;11.387333639284074;10.0;8.83594717833426
Street_Name;object;None;None;None;None;None;None
Street_Name_2;object;None;None;None;None;None;None
Street_Nbr;float64;2.0;41944.0;10141653.0;4461.791904971404;2600.0;5170.989359176458
Surf_Width;float64;12.0;218.0;124193.0;56.995410738871044;48.0;24.9669566209884
Thousand_Damage_Fl;boolean;None;None;None;None;None;None
Thousand_Damage_Fl_01;int64;0;1;4602;0.8752377329783187;1.0;0.33048058250743195
Toll_Road_Fl;boolean;None;None;None;None;None;None
Toll_Road_Fl_01;int64;0;1;56;0.010650437428680106;0.0;0.10265968043708906
Tot_Injry_Cnt;int64;0;8;2339;0.4448459490300494;0.0;0.8197330099333775
Trk_Aadt_Pct;float64;0.9;64.7;27655.299999999996;12.691739329967957;9.7;9.858237858600267
Txdot_Rptable_Fl;boolean;None;None;None;None;None;None
